Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
123,YourAccountName,FDRXX**,HELD IN MONEY MARKET,,,,$579.32 ,,,,,0.08%,,,Cash
123,YourAccountName,COST,COSTCO WHOLESALE CORP COM,85.258,"$1,064.46 ",$6.12 ,"$90,753.30 ",$521.35 ,0.57%,"$71,051.63 ",360.63%,12.37%,"$19,701.67 ",$231.08 ,Cash
123,YourAccountName,WMT,WALMART INC COM,284.207,$103.50 ,$1.03 ,"$29,415.42 ",$292.73 ,1.00%,"$22,239.28 ",309.90%,4.01%,"$7,176.14 ",$25.25 ,Cash
123,YourAccountName,PFE,PFIZER INC,430.609,$25.51 ,($0.02),"$10,984.83 ",($8.62),-0.08%,"$6,884.86 ",167.92%,1.50%,"$4,099.97 ",$9.52 ,Cash
123,YourAccountName,ITOT,ISHARES CORE S&P TOTAL US STOCK MARKET ETF,1217.479,$132.67 ,($0.32),"$161,518.31 ",($394.22),-0.25%,"$98,320.39 ",155.57%,22.01%,"$63,197.92 ",$51.91 ,Cash
123,YourAccountName,AXON,AXON ENTERPRISE INC COM,5.303,$663.73 ,($5.53),"$3,519.76 ",($29.33),-0.83%,"$1,729.78 ",96.63%,0.48%,"$1,789.98 ",$337.54 ,Cash
123,YourAccountName,VNQ,VANGUARD REAL ESTATE ETF,152.575,$91.26 ,($0.74),"$13,923.23 ",($112.15),-0.80%,"$6,385.34 ",84.70%,1.90%,"$7,537.89 ",$49.40 ,Cash
123,YourAccountName,VBK,VANGUARD SMALL-CAP GROWTH INDEX FUND,121.716,$287.02 ,($0.99),"$34,934.76 ",($120.66),-0.35%,"$15,465.20 ",79.43%,4.76%,"$19,469.56 ",$159.96 ,Cash
123,YourAccountName,VBR,VANGUARD SMALL CAP VALUE ETF,333.648,$201.53 ,($2.03),"$67,240.08 ",($677.31),-1.00%,"$29,264.57 ",77.06%,9.16%,"$37,975.51 ",$113.82 ,Cash
123,YourAccountName,VEA,VANGUARD DEVELOPED MARKETS INDEX FUND ETF,300.316,$50.86 ,$0.13 ,"$15,273.98 ",$38.95 ,0.25%,"$5,471.66 ",55.82%,2.08%,"$9,802.32 ",$32.64 ,Cash
123,YourAccountName,IXUS,ISHARES TR CORE MSCI TOTAL,514.571,$69.80 ,$0.24 ,"$35,914.48 ",$120.92 ,0.33%,"$10,654.40 ",42.17%,4.89%,"$25,260.08 ",$49.09 ,Cash
123,YourAccountName,NOW,SERVICENOW INC COM USD0.001,1.428,$986.97 ,($22.08),"$1,409.39 ",($31.54),-2.19%,$409.68 ,40.98%,0.19%,$999.71 ,$700.08 ,Cash
123,YourAccountName,PSTG,PURE STORAGE INC CL A,41.444,$67.55 ,$0.23 ,"$2,799.54 ",$9.53 ,0.34%,$756.74 ,37.04%,0.38%,"$2,042.80 ",$49.29 ,Cash
123,YourAccountName,VSS,VANGUARD INTL EQUITY INDEX FDS FTSE SMCAP ETF,125.277,$116.96 ,($0.10),"$14,651.77 ",($11.91),-0.09%,"$3,959.44 ",37.03%,2.00%,"$10,692.33 ",$85.35 ,Cash
123,YourAccountName,CRWD,CROWDSTRIKE HLDGS INC CL A,22.667,$436.10 ,$4.46 ,"$9,885.07 ",$101.09 ,1.03%,"$2,558.07 ",34.91%,1.35%,"$7,327.00 ",$323.25 ,Cash
123,YourAccountName,V,VISA INC,10.887,$350.71 ,($0.01),"$3,818.17 ",($0.11),-0.01%,$818.32 ,27.27%,0.52%,"$2,999.85 ",$275.54 ,Cash
